Prod;sucursal actual;Genero;Tipo de credito;Producto de credito;Plazo de credito;Tasa;Montos desembolsados;Tipo de tasa;Clase de deudor;municipio;Edad;MEDIA;MODA ;VARINZA
96;259;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,59;11.900.000,00;Tasa Fija;Antiguo;CARTAGO;52;;;
96;227;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;20,71;18.900.000,00;Tasa Fija;Antiguo;CALI;62;;;
96;198;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;22,09;100.000.000,00;Tasa Fija;Antiguo;BUENAVENTURA;55;;;
96;476;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;28,83;22.100.000,00;Tasa Fija;Antiguo;BARRANQUILLA;50;;;
96;382;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;28,29;2.600.000,00;Tasa Fija;Antiguo;FACATATIVA;62;;;
96;697;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;22,3;6.639.931,31;Tasa Fija;Antiguo;CUCUTA;54;;;
96;790;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20;70.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;46;;;
96;210;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,6;50.100.000,00;Tasa Fija;Antiguo;FLORIDABLANCA;51;;;
96;330;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;20,82;9.436.486,70;Tasa Fija;Antiguo;EL BANCO;58;;;
96;719;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;22,99;17.500.000,00;Tasa Fija;Antiguo;PLATO;53;;;
96;389;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;17,19;20.000.000,00;Tasa Fija;Antiguo;GIRARDOT;64;;;
96;419;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;17,6;2.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;54;;;
96;742;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;18,79;33.600.000,00;Tasa Fija;Antiguo;PUERTO LOPEZ;58;;;
96;726;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;20,69;38.900.000,00;Tasa Fija;Antiguo;PUERTO ASIS;61;;;
96;627;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,39;21.200.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;70;;;
96;476;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;22,39;7.800.000,00;Tasa Fija;Antiguo;BARRANQUILLA;65;;;
96;660;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;27,49;25.000.000,00;Tasa Fija;Antiguo;CARTAGENA;68;;;
96;510;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,39;100.000.000,00;Tasa Fija;Antiguo;VALLEDUPAR;58;;;
96;94;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;24,69;16.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;66;;;
96;179;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,6;20.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;63;;;
96;959;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;17,19;66.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;63;;;
96;338;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;15,94;22.200.000,00;Tasa Fija;Antiguo;CHIA;64;;;
96;66;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;18,5;13.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;60;;;
96;700;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;22,79;15.800.000,00;Tasa Fija;Antiguo;PAZ DE ARIPORO;61;;;
96;73;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;18,49;4.500.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;60;;;
96;691;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,08;15.900.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;59;;;
96;135;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;22,49;6.700.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;58;;;
96;897;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;27,34;120.000.000,00;Tasa Fija;Nuevo;SANTA FE DE BOGOTA;57;;;
96;959;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,53;10.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;51;;;
96;974;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;18,52;11.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;51;;;
96;337;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,25;22.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;51;;;
96;73;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,64;15.100.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;51;;;
96;178;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,25;15.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;47;;;
96;724;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;24,69;38.700.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;46;;;
96;897;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;17,25;12.998.952,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;51;;;
96;136;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;20,39;50.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;54;;;
96;26;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,49;34.300.000,00;Tasa Fija;Antiguo;ALBANIA;55;;;
96;316;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;23,89;34.600.000,00;Tasa Fija;Antiguo;CURUMANI;64;;;
96;323;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,39;100.000.000,00;Tasa Fija;Antiguo;CUCUTA;61;;;
96;697;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;24,69;38.900.000,00;Tasa Fija;Antiguo;CUCUTA;55;;;
96;477;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,39;100.000.000,00;Tasa Fija;Antiguo;RIOHACHA;69;;;
96;332;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;22,1;10.000.000,00;Tasa Fija;Antiguo;BUCARAMANGA;63;;;
